shipment-date	sku	fnsku	asin	fulfillment-center-id	quantity	amazon-order-id	currency	item-price-per-unit	shipping-price	gift-wrap-price	ship-city	ship-state	ship-postal-code
2025-12-17T14:49:26+00:00	SK016P	B091BT57TD	B091BT57TD	BOS3	1	113-4504418-6552266	USD	9.99	0.98	0.00	Campbell Hall	New York	10916
2025-12-17T14:47:18+00:00	SK010BK-5	B091BYBGRN	B091BYBGRN	GYR1	1	111-8204632-3241012	USD	11.99	0.00	0.00	PORTOLA VALLEY	CA	94028-7819
2025-12-17T13:59:39+00:00	SK022	B0819PBGQZ	B0819PBGQZ	BOS3	10	112-2679466-6931414	USD	7.69	0.00	0.00	SALISBURY	MA	01952-1444
2025-12-17T13:59:39+00:00	SK022	B0819PBGQZ	B0819PBGQZ	BOS3	8	112-2679466-6931414	USD	7.69	0.00	0.00	SALISBURY	MA	01952-1444
2025-12-17T13:21:51+00:00	FK006BK	B0DTYVFF1Q	B0DTYVFF1Q	RDU1	1	111-7979423-2175462	USD	8.99	0.00	0.00	BROOKLYN	NY	11206-2005
2025-12-17T13:18:06+00:00	SK031A	B0CTHDYDDW	B0CTHDYDDW	PAE2	1	114-1468045-5317822	USD	11.99	0.00	0.00	KIRKLAND	WA	98033-8447
2025-12-17T13:12:41+00:00	SK010BK	B089NQQH16	B089NQQH16	BDL4	2	113-0953566-9635408	USD	19.99	2.99	0.00	WINDSOR	CT	06095-1709
2025-12-17T12:56:33+00:00	SK029	B091KTNWWB	B091KTNWWB	PDX9	2	111-2119069-9183427	USD	10.99	2.33	0.00	SALEM	OR	97301-6076
2025-12-17T12:56:33+00:00	SK029	B091KTNWWB	B091KTNWWB	PDX9	1	111-2119069-9183427	USD	10.99	1.16	0.00	SALEM	OR	97301-6076
2025-12-17T12:56:33+00:00	SK029	B091KTNWWB	B091KTNWWB	PDX9	1	111-2119069-9183427	USD	10.99	1.16	0.00	SALEM	OR	97301-6076
2025-12-17T12:56:33+00:00	SK029	B091KTNWWB	B091KTNWWB	PDX9	1	111-2119069-9183427	USD	10.99	1.17	0.00	SALEM	OR	97301-6076
2025-12-17T12:56:33+00:00	SK029	B091KTNWWB	B091KTNWWB	PDX9	1	111-2119069-9183427	USD	10.99	1.17	0.00	SALEM	OR	97301-6076
2025-12-17T11:20:18+00:00	SB-011-120	B082XRFBQL	B082XRFBQL	SAN3	1	113-9050980-1102602	USD	12.99	0.00	0.00	ANAHEIM	CA	92801-1306
2025-12-17T11:12:10+00:00	SK016P	B091BT57TD	B091BT57TD	OXR1	2	114-2876231-7726603	USD	9.99	1.00	0.00	OXNARD	CA	93036
2025-12-17T10:50:08+00:00	SB-011-120	B082XRFBQL	B082XRFBQL	SHV1	1	114-1346831-2603431	USD	12.99	0.00	0.00	BRUNSWICK	OH	44212-3314
2025-12-17T10:32:19+00:00	SK022	B0819PBGQZ	B0819PBGQZ	ORH3	10	112-2679466-6931414	USD	7.69	0.00	0.00	SALISBURY	MA	01952-1444
2025-12-17T10:32:19+00:00	SK022	B0819PBGQZ	B0819PBGQZ	ORH3	2	112-2679466-6931414	USD	7.69	0.00	0.00	SALISBURY	MA	01952-1444
2025-12-17T10:32:19+00:00	SK022	B0819PBGQZ	B0819PBGQZ	ORH3	1	112-2679466-6931414	USD	7.69	0.00	0.00	SALISBURY	MA	01952-1444
2025-12-17T10:32:19+00:00	SK022	B0819PBGQZ	B0819PBGQZ	ORH3	4	112-2679466-6931414	USD	7.69	0.00	0.00	SALISBURY	MA	01952-1444
2025-12-17T10:15:23+00:00	SK016B	B083K841SF	B083K841SF	CLE3	1	114-9756470-7160240	USD	9.99	0.00	0.00	ROANOKE	IN	46783-9612
2025-12-17T09:42:26+00:00	SK029	B091KTNWWB	B091KTNWWB	STL8	1	114-6540069-8121829	USD	9.02	0.23	0.00	WRIGHT CITY	MO	63390-3140
2025-12-17T09:42:26+00:00	SK029	B091KTNWWB	B091KTNWWB	STL8	3	114-6540069-8121829	USD	9.02	0.69	0.00	WRIGHT CITY	MO	63390-3140
2025-12-17T09:42:26+00:00	SK029	B091KTNWWB	B091KTNWWB	STL8	2	114-6540069-8121829	USD	9.02	0.46	0.00	WRIGHT CITY	MO	63390-3140
2025-12-17T09:42:26+00:00	SK029	B091KTNWWB	B091KTNWWB	STL8	4	114-6540069-8121829	USD	9.02	0.92	0.00	WRIGHT CITY	MO	63390-3140
2025-12-17T09:19:56+00:00	SK010BK-5	B091BYBGRN	B091BYBGRN	CLT4	1	111-8402003-3741012	USD	11.99	0.00	0.00	LINCOLNTON	NC	28092-2537
2025-12-17T08:56:32+00:00	SK028A	B097PQ46FT	B097PQ46FT	OMA2	1	113-0280835-3446616	USD	17.99	0.00	0.00	WINDSOR	MO	65360-2308
2025-12-17T08:55:42+00:00	SK022	B0819PBGQZ	B0819PBGQZ	PHL7	4	112-2679466-6931414	USD	7.69	0.00	0.00	SALISBURY	MA	01952-1444
